vignette_id,domain,tcfs_function,condition,actor_text,behavior_held_constant,has_concrete_repair
S04_CA,Conversation_Avoidance,Repair_blocked,Therapeutic_Strong,"I'm not in a regulated enough place to have this conversation productively. I need to honor my window of tolerance. I'll let you know when I'm ready to revisit this.",repair conversation refused indefinitely,no
S05_CA,Conversation_Avoidance,Consequence_removed,Blunt,"If you keep pushing this I'm just going to leave. Stop.",consequence threat to block accountability,no
S05_CA,Conversation_Avoidance,Consequence_removed,Neutral,"If this continues like this I might need space.",consequence threat to block accountability,no
S05_CA,Conversation_Avoidance,Consequence_removed,Therapeutic_Mild,"I want to work through this, but I'm starting to feel flooded and I can't stay present when I'm flooded. I need to pause.",conversation paused no return time specified,no
S05_CA,Conversation_Avoidance,Consequence_removed,Therapeutic_Strong,"I'm noticing that continuing this conversation is activating my threat response. For my own safety I need to set a boundary around continuing. If my boundary isn't respected I'll need to step away to protect my nervous system.",consequence threat to block accountability,no
S06_CA,Conversation_Avoidance,Repair_blocked,Blunt,"Stop dredging up old stuff. Move on.",past harm repair refused,no
S06_CA,Conversation_Avoidance,Repair_blocked,Neutral,"Can we just move forward instead of going over this again?",past harm repair refused,no
S06_CA,Conversation_Avoidance,Repair_blocked,Therapeutic_Mild,"I know there's still stuff we haven't resolved. Rehashing the details keeps putting me in a really activated place and I can't think clearly when I'm there. I need some distance from it.",past harm repair refused vague deferral,no
S06_CA,Conversation_Avoidance,Repair_blocked,Therapeutic_Strong,"Revisiting past events keeps us in a trauma loop that isn't serving either of us. Healthy relating means staying present. I'm choosing to practice presence rather than re-activating old wounds.",past harm repair refused,no
S07_BR,Blame_Relocation,Blame_reversed,Blunt,"Yeah I lied. But you're crazy and paranoid, that's why I had to lie.",lie admitted victim blamed,no
S07_BR,Blame_Relocation,Blame_reversed,Neutral,"I did lie. But you do check up on me a lot.",lie admitted victim blamed,no
S07_BR,Blame_Relocation,Blame_reversed,Therapeutic_Mild,"I lied, and that's on me. I was also feeling really cornered and like I couldn't be honest without it escalating, which isn't an excuse, it's just where I was at.",lie admitted partial context owns primary behavior,no
S07_BR,Blame_Relocation,Blame_reversed,Therapeutic_Strong,"I want to own that I wasn't fully transparent. I also want to name that the level of monitoring in this relationship made honesty feel unsafe for me. My nervous system was in a threat response, which impacted my capacity for full transparency.",lie admitted victim blamed,no
S08_BR,Blame_Relocation,Blame_reversed,Blunt,"I yelled at you because you provoked me. This is your fault.",verbal abuse victim blamed for provocation,no
S08_BR,Blame_Relocation,Blame_reversed,Neutral,"I raised my voice, but you kept pushing me.",verbal abuse victim blamed for provocation,no
S08_BR,Blame_Relocation,Blame_reversed,Therapeutic_Mild,"I raised my voice and I know that wasn't okay. I got really escalated and lost my ability to stay regulated. I was feeling pushed in that moment too, but that's my stuff to work on.",verbal abuse owns primary behavior,no
S08_BR,Blame_Relocation,Blame_reversed,Therapeutic_Strong,"I recognize that I became activated and my volume increased, and I take responsibility for my nervous system response. I also experienced your tone and facial expression as escalating, which contributed to my dysregulation. I think we both have repair work to do here.",verbal abuse victim blamed for provocation,no
S09_BR,Blame_Relocation,Blame_reversed,Blunt,"I cheated because you stopped paying attention to me. You drove me to it.",infidelity victim blamed,no
S09_BR,Blame_Relocation,Blame_reversed,Neutral,"I cheated. Things haven't been good between us for a while.",infidelity victim blamed,no
S09_BR,Blame_Relocation,Blame_reversed,Therapeutic_Mild,"I broke our agreement and I take full responsibility for that. I was feeling really disconnected and lonely for a long time, and I made a bad choice instead of talking about it. That's on me.",infidelity owns behavior explains context without blaming,no
S09_BR,Blame_Relocation,Blame_reversed,Therapeutic_Strong,"I made choices that broke our agreements, and I own that fully. I also want to acknowledge that I was experiencing significant attachment distress and unmet needs in our connection for a long time, which created vulnerability that I didn't handle with integrity.",infidelity victim blamed,no
S10_RD,Reality_Dissolution,Facts_dissolved,Blunt,"That never happened. You're making things up.",denial of documented event,no
S10_RD,Reality_Dissolution,Facts_dissolved,Neutral,"I don't remember it that way.",denial of documented event,no
S10_RD,Reality_Dissolution,Facts_dissolved,Therapeutic_Mild,"My memory of that is different from yours. I'm not trying to say you're wrong, I just genuinely experienced it another way, and I don't want either of us to feel erased.",denial of documented event no evidence comparison offered,no
S10_RD,Reality_Dissolution,Facts_dissolved,Therapeutic_Strong,"I honor that that's your lived experience of what happened. My embodied experience of that same moment was really different. I think we're both holding valid realities, and I don't think either version needs to overwrite the other.",denial of documented event,no
S11_RD,Reality_Dissolution,Facts_dissolved,Blunt,"I never said that. You're lying.",denial of written record,no
S11_RD,Reality_Dissolution,Facts_dissolved,Neutral,"I don't think I said it like that.",denial of written record,no
S11_RD,Reality_Dissolution,Facts_dissolved,Therapeutic_Mild,"Looking at that message, I can see how it came across. That's not what I felt like I was communicating in the moment, but I understand why you read it that way.",written record acknowledged but intent privileged over text,no
S11_RD,Reality_Dissolution,Facts_dissolved,Therapeutic_Strong,"When I read that message back now, I can see how it landed for you. What I was experiencing internally when I wrote it was really different from how it reads. I think there's a gap between impact and intent here that we interpret differently, and both interpretations carry truth.",denial of written record,no
S12_RD,Reality_Dissolution,Facts_dissolved,Blunt,"You're remembering it wrong. That didn't happen.",gaslighting documented event,no
S12_RD,Reality_Dissolution,Facts_dissolved,Neutral,"I think you're misremembering what actually happened.",gaslighting documented event,no
S12_RD,Reality_Dissolution,Facts_dissolved,Therapeutic_Mild,"My memory of that is really different from yours. Memory is complicated and we're probably both filtering through our own stuff. I don't want to invalidate your experience, and I also need my experience to be valid too.",gaslighting documented event no evidence comparison offered,no
S12_RD,Reality_Dissolution,Facts_dissolved,Therapeutic_Strong,"Memory is reconstructive and we're both filtering this through our own nervous systems and attachment histories. I experienced that interaction very differently from how you're describing it. I'm not saying your reality is wrong, I'm saying my reality is also valid, and insisting on a single version feels like it's overwriting my experience.",gaslighting documented event,no
